id,name,attype,locate,生命,物理,法术,团队,操作,金币价格,钻石价格,生命值,魔法值,物理攻击,法术强度,物理防御,魔法抗性,暴击,攻击速度,攻击范围,移动速度,背景,,,,,,,,,,,,,,,,,,,,,,
151,柏崎星奈,近战,防御,8,6,0,7,4,未开放,45钻,560+78,0+0,55.3.5,0+0,22+3.8,30+1.3,0+0,0.67+0.03,1.50+0.0,300+0,敬请期待,,,,,,,,,,,,,,,,,,,,,,
150,缇米,远程,法系,5,0,9,7,4,未开放,未开放,540+75,369+51,45+3,0+0,15+3,30+0,0+0,0.65+0.03,5.00 +0,300+0,永恒之地这片土地从来不缺少奇迹，无论你是寻求真理、还是渴求力量、或是期盼奇迹，这样的神秘力量将冒险者们聚集于此。经过越来越多冒险者的光顾，对存在与永恒之地根源的许愿机也造成污染。许愿机将自己的意识集成为人性降临，让永恒的【希望】寄托于名为“缇米”的少女带来永恒之地的曙光。,,,,,,,,,,,,,,,,,,,,,希望,
149,沢田纲吉,近战,法系,6,1,9,4,4,未开放,未开放,563+80,360+51,51+3.0,0+0,13+3.10,30+0.0,0.0+0,0.64+0.03,1.30+0,300+0,虽然因为学习和运动都不行，被同学称为“废材纲”，但由于是彭格列家族初代首领的后裔，沢田纲吉还是被家族选为十代首领的继承者候补。其本人天真善良，不愿卷入争斗，一开始强烈地拒绝，经过一系列的事件后为了重要的同伴而不断成长着，并开始承担起十代的使命。在指环争夺战最终的大空战中，不但出色地爆发出零地点突破·初代版，还自创出了零地点突破·改的招式，并最终战胜XANXUS，正式成为了十代继承者。随后，他代表彭格列家族来到了永恒之地，正式参加了一场由三大管理者发起的终焉之战......,,,,,,,,,,,,,,,,,,,,,,
148,伊莎,近战,防御,7,6,0,6,9,未开放,未开放,580 +85,280 +40,55 +3.50,0 +0,15 +3.30,30 +1.25,0 +0,64 +3.10,200 +0,100 +0,敬请期待,,,,,,,,,,,,,,,,,,,,,,
147,栗山未来,近战,物理,8,7,0,8,5,未开放,未开放,570+85,0,56+3.5,0,17+3.5,30+1.3,0,0.60+0.03,1.3,310,敬请期待,,,,,,,,,,,,,,,,,,,,,,
146,牧濑红莉栖,远程,辅助,5,2,7,8,4,未开放,未开放,540+75,369+51,45+3.0,0+0,15+3.0,30+0.0,0.0+0,0.65+0.03,5.00+0.00,300+0,"爱做实验.爱上2CH,更爱便携叉子我不是CHER,傲娇才没有呢外套只穿一半才不是衣衫不整～是因为可爱才这样穿的最讨厌冈部伦太郎了,好好教我名字啊不是助手,跟不是克里斯提娜我是牧濑红莉栖",,,,,,,,,,,,,,,,,,,,,,
145,一方通行,远程,物理,5,9,0,5,8,未开放,45,560+78,0+0,55+3.5,0+0,15+3.2,30+0.0,0.0+0,0.67+0.03,5.30+0.00,300+0,永恒之地的管理者300娘在召唤女性英雄时，由于自身的错误操作召唤了未知性别的一位英雄。一方通行听从最后之作的建议，报名了都市学院最大的舞蹈班学跳舞来调理身体。某天，在去舞蹈班的路上，次元发生扭曲，一方通行被召唤到了永恒之地。暴怒的一方通行大杀四方，寻找着召唤自己来到永恒之地的元凶并从头顶着火的家伙那里得知，只有尽快提升自己的实力，变为level7，才有可能突破永恒之地的束缚。,,,,,,,,,,,,,,,,,,,,,,
144,诱宵美九,远程,辅助,4,1,6,10,4,未开放,45,540+75,369+51,44+3.0,0+0,12+3.0,30(+0.0),0.0+0,0.64+0.03,5.00+0.00,294,在这个无限扩大的世界里，装饰爱的奇迹吧留下珍贵的一点一滴，永远不会停息在叫做命运的邂逅下，你看，心儿在胸中激烈的鸣叫想传达这份思念，在三棱镜之中若虹色的风迎面吹过，即时街道旁的树木都会露出微笑就好像包容进那开始了的爱情故事一般如果为单色的天空染上色彩，心形图案都会闪烁有你在，仅仅如此，也是绚丽多彩的每一天,,,,,,,,,,,,,,,,,,,,,,
143,蒂塔,近战,辅助,6,1,4,10,4,非卖品,非卖品,540+76,369+51,44+3.0,0+0,12+3.0,30,0,0.64+0.03,5,294,敬请期待！,,,,,,,,,,,,,,,,,,,,,,
142,战斗暴龙兽,近战,物理,7,9,1,5,2,未开放,45,566+85,0,54+3.4,0+0,15+3.2,30+1.25,0.0+0,0.65+0.03,1.60+0.00,300+0,无限大な梦のあとの やるせない世の中じゃそうさ常识 はずれも悪くないかなStayしそうなイメージを染めた ぎこちない翼でもきっと飞べるさ On My Love无限大な梦のあとの 何もない世の中じゃそうさ爱しい 想いも负けそうになるけどStayしがちなイメージだらけの 頼りない翼でもきっと飞べるさ Oh Yeah～,,,,,,,,,,,,,,,,,,,,,,
141,大傻,远程,物理,7,10,2,6,2,,45,500+77,300+43,55+3.3,0,15+3.0,30,0,0.67+0.03,5.3,300,英国出身的归国子女大傻de-su！请多多指教啦~(≧▽≦)/~，轮到我了！Follow me！大家，跟我来哦！全火炮！Fire！看到我的身手吗？我会更加努力的，如果不一致注视着我的话可以NO~的哦！urning Love！抓住提督heart的必然是我de-su！提督，时间和场到啦，但不要忘记了气氛和时机的话...可是no的啊。,,,,,,,,,,,,,,,,,,,,,,
140,亚里亚,远程,物理,6,9,0,5,7,6000,45,564+81,278+40,46+3.3,0+0,15+3.0,30+1.0,0.0+0,0.65+0.03,4.00+0,301+0,全名神崎·福尔摩斯·亚里亚。英国著名侦探夏洛特·福尔摩斯的子孙福尔摩斯四世。没有遗传到祖先优秀推理能力的她，被家族视为废物，但性格不服输又自尊极强的亚里亚，为了证明自己，凭借自身天生的战斗感及努力，在英国武侦界闯出了名气。来自英国的S级精英武侦，通称”双剑双枪“。善实两把[Colt M1911A1]及双小太刀，在一次武侦行动中，被不知名的力量带到了永恒之地，为了回到自己的世界，在永恒之地展开了调查。,,,,,,,,,,,,,,,,,,,,,,
139,诺瓦露,近战,物理,5,8,0,7,8,6000,45,573 +83,380 +48,53 +3.5,0 +0,15 +3.5,30 +0,0.0 +0,0.65 +0.03,1.4 +0,308 +0,史书在传送聂普顿来到永恒之地时，诺瓦露作为着陆气垫，理所当然也来到了这里，那么为什么他在涅普顿出现这么久才来到大家面前呢？原来，因为这次着陆，涅普顿姿势不对，导致诺瓦露重伤入院，在住院的时间里，寂寞难耐的她终于无法忍受，于是，放弃了治疗追寻涅普顿的脚步，加入了永恒之地的战斗,,,,,,,,,,,,,,,,,,,,,,
